segment_id,translation-en-sujato,comment-en-sujato,section_num_long,level_1,level_2,level_3,level_4,level_5
dn1:0.1,Long Discourses 1,,1:0.1,1,0,1,0,0
dn1:0.2,The Prime Net ,,1:0.2,1,0,2,0,0
dn1:0.3,1. Talk on Wanderers,,1:0.3,1,0,3,0,0
dn1:1.1.1,So I have heard. ,,1:1.1.1,1,1,1,1,0
dn1:1.1.2,At one time the Buddha was traveling along the road between Rājagaha and Nālanda together with a large Saṅgha of around five hundred mendicants. ,,1:1.1.2,1,1,1,2,0
dn1:1.1.3,"The wanderer Suppiya was also traveling along the same road, together with his pupil, the brahmin student Brahmadatta. ",,1:1.1.3,1,1,1,3,0
dn1:1.1.4,"Meanwhile, Suppiya criticized the Buddha, the teaching, and the Saṅgha in many ways, ",,1:1.1.4,1,1,1,4,0
dn1:1.1.5,but his pupil Brahmadatta praised them in many ways. ,,1:1.1.5,1,1,1,5,0
dn1:1.1.6,And so both teacher and pupil followed behind the Buddha and the Saṅgha of mendicants directly contradicting each other. ,,1:1.1.6,1,1,1,6,0
dn1:1.2.1,Then the Buddha took up residence for the night in the royal rest-house in Ambalaṭṭhikā together with the Saṅgha of mendicants. ,,1:1.2.1,1,1,2,1,0
dn1:1.2.2,And Suppiya and Brahmadatta did likewise. ,,1:1.2.2,1,1,2,2,0
dn1:1.2.3,"There too, Suppiya criticized the Buddha, the teaching, and the Saṅgha in many ways, ",,1:1.2.3,1,1,2,3,0
dn1:1.2.4,but his pupil Brahmadatta praised them in many ways. ,,1:1.2.4,1,1,2,4,0
dn1:1.2.5,And so both teacher and pupil kept on directly contradicting each other. ,,1:1.2.5,1,1,2,5,0
dn1:1.3.1,"Then several mendicants rose at the crack of dawn and sat together in the pavilion, where the topic of evaluation came up: ","saṅkhiyadhamma is a unique term, occurring, so far as I can tell, nowhere else in the Pali literature. The commentary glosses as kathadhamma, and thus Bodhi and Thanissaro effectively just have it as 'conversation'. Rhys Davids followed by Wals have something like 'trend of conversation.' Yet it seems to me that such a unique term in such a prominent position should have a more specific maning. I am not aware of elsewhere in the ENTs where sankya has the plain sense 'conversation'. rather, it is connected with the notion of evaluation, measuring. Here the subject of discussion is the different ways the two parties evaluate the Sangha.",1:1.3.1,1,1,3,1,0
dn1:1.3.2,"“It’s incredible, reverends, it’s amazing how the diverse attitudes of sentient beings have been clearly comprehended by the Blessed One, who knows and sees, the perfected one, the fully awakened Buddha. ",,1:1.3.2,1,1,3,2,0
dn1:1.3.3,"For this Suppiya criticizes the Buddha, the teaching, and the Saṅgha in many ways, ",,1:1.3.3,1,1,3,3,0
dn1:1.3.4,while his pupil Brahmadatta praises them in many ways. ,,1:1.3.4,1,1,3,4,0
dn1:1.3.5,And so both teacher and pupil followed behind the Buddha and the Saṅgha of mendicants directly contradicting each other.” ,,1:1.3.5,1,1,3,5,0
dn1:1.4.1,"When the Buddha found out about this discussion on evaluation among the mendicants, he went to the pavilion, where he sat on the seat spread out and addressed the mendicants, ",,1:1.4.1,1,1,4,1,0
dn1:1.4.2,"“Mendicants, what were you sitting talking about just now? What conversation was left unfinished?” ",,1:1.4.2,1,1,4,2,0
dn1:1.4.3,"The mendicants told him what had happened, adding, ",,1:1.4.3,1,1,4,3,0
dn1:1.4.4, ,,1:1.4.4,1,1,4,4,0
dn1:1.4.5, ,,1:1.4.5,1,1,4,5,0
dn1:1.4.6, ,,1:1.4.6,1,1,4,6,0
dn1:1.4.7, ,,1:1.4.7,1,1,4,7,0
dn1:1.4.8, ,,1:1.4.8,1,1,4,8,0
dn1:1.4.9,“This was our conversation that was unfinished when the Buddha arrived.” ,,1:1.4.9,1,1,4,9,0
